dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,0.47459252157238735,0.0,0.0,0.0,0.0,0.020642201834862386,
glue-cola,glue-mnli,glue-qqp,0.2233940556088207,0.0,0.0,0.0,0.0,0.0022935779816513763,
glue-cola,glue-mnli,glue-rte,0.34707574304889743,0.001875,0.0,0.0,0.4151624548736462,0.0,
glue-cola,glue-mnli,glue-sst2,0.348993288590604,0.00125,0.0,0.0,0.0,0.9002293577981652,
glue-cola,glue-mnli,glue-stsb,0.18791946308724833,0.0,0.0,0.0,0.0,0.0,0.02024246503159779
glue-cola,glue-mrpc,glue-qqp,0.16586768935762225,0.0,0.0,0.0,0.0,0.0011467889908256881,
glue-cola,glue-mrpc,glue-rte,0.3058485139022052,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-mrpc,glue-sst2,0.5608820709491851,0.0,0.0,0.0,0.0,0.8761467889908257,
glue-cola,glue-mrpc,glue-stsb,0.16778523489932887,0.0,0.0,0.0,0.0,0.0,0.04688208202075824
glue-cola,glue-qqp,glue-rte,0.10258868648130393,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-qqp,glue-sst2,0.3307766059443912,0.0,0.0,0.0,0.0,0.7694954128440367,
glue-cola,glue-qqp,glue-stsb,0.023969319271332695,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-rte,glue-sst2,0.5023969319271333,0.0,0.0,0.0,0.0,0.8279816513761468,
glue-cola,glue-rte,glue-stsb,0.08053691275167785,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-sst2,glue-stsb,0.27804410354745923,0.0,0.0,0.0,0.0,0.7385321100917431,
glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0024509803921568627,0.003125,0.0,0.0,
glue-mnli,glue-mrpc,glue-rte,0.0,0.03125,0.0,0.0,0.5848375451263538,0.0,
glue-mnli,glue-mrpc,glue-sst2,0.0,0.001875,0.0,0.0,0.0,0.8956422018348624,
glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.18434524572280786
glue-mnli,glue-qqp,glue-rte,0.0,0.018125,0.0,0.0,0.4620938628158845,0.0,
glue-mnli,glue-qqp,glue-sst2,0.0,0.00125,0.0,0.0,0.0,0.48853211009174313,
glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mnli,glue-rte,glue-sst2,0.0,0.000625,0.0,0.0,0.3971119133574007,0.4231651376146789,
glue-mnli,glue-rte,glue-stsb,0.0,0.10375,0.0,0.0,0.5270758122743683,0.0,
glue-mnli,glue-sst2,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.20871559633027523,0.02024246503159779
glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.022058823529411766,0.0125,0.06859205776173286,0.0,
glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.5206422018348624,
glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.6490825688073395,
glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.04803983095503604
glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.6513761467889908,-0.010956760199023178
glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.20871559633027523,
glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.2626146788990826,
glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.040137614678899085,
