dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
glue-cola,glue-mnli,glue-mrpc,0.41802492809204217,0.0,0.0,0.0,0.0,0.011467889908256881,-0.0323030368810438
glue-cola,glue-mnli,glue-qqp,0.5321188878235859,0.000625,0.0,0.0,0.0,0.005733944954128441,
glue-cola,glue-mnli,glue-rte,0.5503355704697986,0.000625,0.0,0.0,0.148014440433213,0.0011467889908256881,
glue-cola,glue-mnli,glue-sst2,0.39022051773729627,0.000625,0.0,0.0,0.0,0.893348623853211,
glue-cola,glue-mnli,glue-stsb,0.3374880153403643,0.0,0.0,0.0,0.0,0.0,0.013391418530027064
glue-cola,glue-mrpc,glue-qqp,0.2348993288590604,0.0,0.0,0.0,0.0,0.0022935779816513763,-0.0323030368810438
glue-cola,glue-mrpc,glue-rte,0.30105465004793863,0.0,0.0,0.0,0.0,0.0022935779816513763,-0.0323030368810438
glue-cola,glue-mrpc,glue-sst2,0.2694151486097795,0.0,0.0,0.0,0.0,0.8784403669724771,
glue-cola,glue-mrpc,glue-stsb,0.087248322147651,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-qqp,glue-rte,0.4103547459252157,0.0,0.0,0.0,0.0036101083032490976,0.0,
glue-cola,glue-qqp,glue-sst2,0.42953020134228187,0.0,0.0,0.0,0.0,0.8646788990825688,
glue-cola,glue-qqp,glue-stsb,0.17641418983700863,0.0,0.0,0.0,0.0,0.0,
glue-cola,glue-rte,glue-sst2,0.4822627037392138,0.0,0.0,0.0,0.0,0.8876146788990825,
glue-cola,glue-rte,glue-stsb,0.25023969319271333,0.0,0.0,0.0,0.0,0.0,0.053706985704330516
glue-cola,glue-sst2,glue-stsb,0.21668264621284755,0.0,0.0,0.0,0.0,0.8704128440366973,
glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.039711191335740074,0.0,-0.0323030368810438
glue-mnli,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.875,
glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.014939722202962675
glue-mnli,glue-qqp,glue-rte,0.0,0.001875,0.0,0.0,0.22382671480144403,0.0,
glue-mnli,glue-qqp,glue-sst2,0.0,0.000625,0.0,0.0,0.0,0.8876146788990825,
glue-mnli,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.07903188665480791
glue-mnli,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.8910550458715596,
glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.13357400722021662,0.0,0.112825776349793
glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.7052752293577982,-0.022898733167985765
glue-mrpc,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.010830324909747292,0.0,-0.0323030368810438
glue-mrpc,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.8245412844036697,
glue-mrpc,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.8325688073394495,
glue-mrpc,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.6284403669724771,
glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.8256880733944955,
glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,0.04299736044483693
glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.7075688073394495,
glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.5711009174311926,
